ID_Source,AI_Tool,Title,Publication_Year,URL,Person_Screening,Accessible,Inclusion_criteria_Monitoring,Inclusion_criteria_Reporting,Inclusion_criteria_Verification,Inclusion_criteria_About_MRV,Inclusion_criteria_About_Soil,In_Scope,ID_MRV,MRV_Name,Land_use_Agriculture,Land_use_Forest,Land_use_Urban,Land_use_Degraded_land,Land_use_Peatland_Wetland,Land_use_Others,Land_use_Others_ Precision,Scale_Local,Scale_Regional,Scale_National,Scale_Continental,Scale_Global,Purpose,Purpose_Others_Precision,Driver_Afforestation_Reforestation,Driver_Agricultural_practices,Driver_Biochar,Driver_Forest_management,Driver_Conservation,Driver_Deforestation,Driver_Restoration,Driver_Weathering,Driver_Grazing,Driver_Irrigation,Driver_Land_conversion,Driver_Rewetting,Driver_Fire_management,Occupation_Farmers,Occupation_Foresters_Forester_Associations,Occupation_Public_Administrators,Occupation_Educational_Institutions_Research,Occupation_NGOs,Occupation_Agroindustry,Occupation_Forestry_Companies,Occupation_Consultancy,Occupation_Others,Occupation_Project_developer,Occupation_Other_companies,Occupation_Software_developers,Occupation_Others_Precision,Cost_MRV,Cost_Unit,Parameter_Soil_Microorganisms,Parameter_Soil_Fauna,Parameter_Soil_pH,Parameter_Oxygen_content,Parameter_Clay_mineralogy,Parameter_Soil_organic_matter_SOC,Parameter_CEC,Parameter_Soil_moisture,Parameter_Soil_temperature,Parameter_Particle_size_distribution_Texture,Parameter_Soil_porosity,Parameter_Soil_diffusivity,Parameter_Aggregate_stability,Parameter_Soil_compaction_Bulk_density,Parameter_Nutrient_availability,Parameter_Pollutant_concentration,Parameter_Soil_depth,Parameter_GHG,Parameter_Peat_depth,Parameter_Soil_color,Parameter_Soil_type,Parameter_Subsidence,Parameter_CaCO3,Parameter_Electrical_conductivity,Parameter_Water_holding_capacity,Parameter_Infiltration_rate,Parameter_Others,Parameter_Others_Precision,Data_Land_Management,Data_Spatial_images,Data_Soil_samples,Data_Modelling,Data_on_site_images,Plot_Area,Plot_Area_Unit,Monitoring_frequency,Methodology_Standard,Methodology_Other,Format_Document,Format_Online,Uncertainty,Uncertainty_Other_Precision,Threshold,Action_based,Result_based,Verification_Methodology_satellite_data,Verification_Methodology_phone_application,Verification_Methodology_field_inspection,Verification_Automatization,Verification_Manual,Auditor,Data_Sharing,Implementation,Country,Continent,Source
AI022,Perplexity,Soil Organic Carbon (SOC) MRV Sourcebook for Agricultural Landscapes,2021,https://documents1.worldbank.org/curated/en/948041625049766862/pdf/Soil-Organic-Carbon-MRV-Sourcebook-for-Agricultural-Landscapes.pdf,Camille,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate
AI024,Perplexity,Gold Standard Soil Organic Carbon Framework Methodology,2022,https://globalgoals.goldstandard.org/standards/402_V1.0_LUF_AGR_FM_Soil-Organic-Carbon-Framework-Methodolgy.pdf,Camille,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate
AI025,Perplexity,Verra VM0042 Methodology for Improved Agricultural Land Management,2024,https://verra.org/methodologies/vm0042-improved-agricultural-land-management-v2-1/,Camille,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate
AI001,Elicit,"Towards a modular, multi-ecosystem monitoring, reporting and verification (MRV) framework for soil organic carbon stock change assessment",2024,https://doi.org/10.1080/17583004.2024.2410812,Camille,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate
AI003,Elicit,Can Current Earth Observation Technologies Provide Useful Information on Soil Organic Carbon Stocks for Environmental Land Management Policy?,NA,https://doi.org/10.3390/su132112074,Camille,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate
AI028,Elicit,"How to measure, report and verify soil carbon change to realize the potential of soil carbon sequestration for atmospheric greenhouse gas removal",NA,https://doi.org/10.1111/gcb.14815,Camille,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate
AI029,Perplexity,"A protocol for measurement, monitoring, reporting and verification of soil organic carbon in agricultural landscapes – GSOC-MRV Protocol",2020,https://openknowledge.fao.org/server/api/core/bitstreams/e8781eb7-83c2-4ade-980b-f5872603bcb1/content,Camille,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate
AI030,Perplexity,"GSOC-MRV Protocol for Measurement, Reporting, Verification and Monitoring to Assess Soil Organic Carbon Sequestration and Greenhouse Emissions in Agricultural Landscapes",2020,https://www.fao.org/fileadmin/user_upload/GSP/eighth_PA/GSOC_MRV.pdf,Camille,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate
AI031,Perplexity,"Towards a modular, multi-ecosystem monitoring, reporting and verification (MRV) framework for soil organic carbon stock change assessment",2024,https://agritrop.cirad.fr/610556/1/Batjes2024%20Towards%20a%20modular%20multi-ecosystem%20monitoring%20reporting%20and%20verification%20MRV%20framework.pdf,Camille,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate
AI001,Elicit,"Towards agricultural soil carbon monitoring, reporting and verification through Field Observatory Network (FiON)",NA (2022),https://gi.copernicus.org/articles/11/93/2022/gi-11-93-2022.pdf,Sambit,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,FiON,Yes,No,No,NA,NA,No,No,No,No,Yes,No,No,Compliance_Carbon_Market,,Soil_Carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,Yes,No,No,No,No,Yes,NA,NA,NA,"Companies, other stakeholders",NA,NA,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,Yes,No,Quantile_distribution,NA,NA,No,Yes,Yes,No,No,No,No,No,Yes,Implemented,Finland,Europe,NA
