ID_row	url	page	position	type	image	company	domain	Date	Country_Webscraping	Person_webscraping	Person_Screening_1	Person_Screening_2	ID_Source	Accessible	Inclusion_criteria_Monitoring	Inclusion_criteria_Reporting	Inclusion_criteria_Verification	Inclusion_criteria_About_MRV	Inclusion_criteria_About_Soil	In_Scope	ID_MRV	MRV_Name	Land_use_Agriculture	Land_use_Forest	Land_use_Urban	Land_use_Others	Land_use_Degraded_land	Land_use_Peatland_Wetland	Land_use_Others_ Precision	Scale_Local	Scale_Regional	Scale_National	Scale_Continental	Scale_Global	Purpose	Purpose_Others_Precision	Driver_Afforestation_Reforestation	Driver_Agricultural_practices	Driver_Biochar	Driver_Forest_management	Driver_Conservation	Driver_Deforestation	Driver_Restoration	Driver_Weathering	Driver_Grazing	Driver_Irrigation	Driver_Land_conversion	Driver_Rewetting	Driver_Fire_management	Occupation_Farmers	Occupation_Foresters_Forester_Associations	Occupation_Public_Administrators	Occupation_Educational_Institutions_Research	Occupation_NGOs	Occupation_Agroindustry	Occupation_Forestry_Companies	Occupation_Consultancy	Occupation_Others	Occupation_Project_developer	Occupation_Other_companies	Occupation_Software_developers	Occupation_Others_Precision	Cost_MRV	Cost_Unit	Parameter_Soil_Microorganisms	Parameter_Soil_Fauna	Parameter_Soil_pH	Parameter_Oxygen_content	Parameter_Clay_mineralogy 	Parameter_Soil_organic_matter_SOC	Parameter_CEC	Parameter_Soil_moisture	Parameter_Soil_temperature	Parameter_Particle_size_distribution_Texture	Parameter_Soil_porosity	Parameter_Soil_diffusivity	Parameter_Aggregate_stability	Parameter_Soil_compaction_Bulk_density	Parameter_Nutrient_availability	Parameter_Pollutant_concentration	Parameter_Soil_depth	Parameter_GHG	Parameter_Peat_depth	Parameter_Soil_color	Parameter_Soil_type	Parameter_Subsidence	Parameter_CaCO3	Parameter_Electrical_conductivity	Parameter_Water_holding_capacity	Parameter_Infiltration_rate	Parameter_Others	Parameter_Others_Precision	Data_Land_Management	Data_Spatial_images	Data_Soil_samples	Data_Modelling	Data_on_site_images	Plot_Area	Plot_Area_Unit	Monitoring_frequency	Methodology_Standard	Methodology_Other	Format_Document	Format_Online	Uncertainty	Uncertainty_Other_Precision	Threshold	Action_based	Result_based	Verification_Methodology_satellite_data	Verification_Methodology_phone_application	Verification_Methodology_field_inspection	Verification_Automatization	Verification_Manual	Auditor	Data_Sharing 	Implementation	Country	Continent	Source	
759	https://search.proquest.com/openview/0f6cb04e05a5ad59a78128ac6abdb4c7/1?pq-origsite=gscholar&cbl=2037683	12	7	SEO	No	proquest	search.proquest.com	20/05/2025	France	Antonio	Kilian	Camille	Duplicate	Duplicate	Duplicate	Duplicated	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Yes	Yes	Yes	No	NA	NA	NA	Yes	No	No	No	No	Other	Field_soil_ecology_monitoring	Management_practices			No	No	No	No	No	No	No	No	No	No	Yes	No	No	Yes	No	Yes	No	Yes	No	NA	NA	NA	NA	NA	NA	No	Yes	No	No	No	Yes	No	Yes	Yes	No	No	No	No	No	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	Electrical_conductivity, water_holding_capacity	Yes	Yes	Yes	Yes	No	NA	NA	Less_5_years	Yes	Yes	No	Yes	NA	NA	NA	No	Yes	NA	NA	NA	Yes	No	No	Yes	Project 	Finland	Europe	NA	
251	https://gi.copernicus.org/articles/11/93/2022/	2	6	SEO	No	copernicus	gi.copernicus.org	20/05/2025	France	Antonio	Sambit	Camille	Duplicated	Yes	Yes	Yes	Yes	Yes	Yes	Duplicate	Duplicate	Duplicate	Yes	No	No	No	NA	NA	NA	No	No	Yes	No	No	Other	SOIL_CARBON_MEASUREMENT 	Soil_Carbon_and_GHG_emissions 			No	No	No	No	No	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	Yes	NA	NA	NA	Stakeholders developing carbon farming practices	NA	NA	No	No	No	No	No	Yes	Yes	Yes	Yes	No	No	No	No	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	Soil Water Holding capacity, Latent and sensible heat flux	Yes	Yes	Yes	Yes	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	Implemented	Finland	Europe	NA	
775	https://www.researchgate.net/figure/A-framework-for-the-measurement-monitoring-reporting-and-verification-MRV-of-SOC_fig3_355854280	3	8	SEO	No	researchgate	www.researchgate.net	04/06/2025	Germany	Camille	Kilian	Camille	W195	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Yes	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	Other	SOC_Monitoring	Management_practices		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	Yes	Yes	No	No	No	No	No	NA	NA	NA	NA	NA	NA	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	Yes	Yes	Yes	Yes	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	Yes	Yes	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	
227	https://www.circasa-project.eu/content/download/4158/40011?version=1	11	3	SEO	No	circasa-project	www.circasa-project.eu	20/05/2025	France	Antonio	Sambit	Camille	W056	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Yes	Yes	No	No	NA	NA	NA	Yes	Yes	Yes	Yes	Yes	Compliance_carbon_market 	NA	Soc and ghg emissions 		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	Yes	No	Yes	No	Yes	No	No	No	NA	NA	NA	No	NA	NA	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	Yes	Yes	Yes	Yes	No	NA	NA	N+10 YEARS 	Yes	NA	Yes	No	NA	NA	NA	NA	Yes	Yes	NA	NA	NA	NA	NA	Yes	Project 	Global 	Global 	NA	
772	https://www.regrow.ag/platform/mrv	11	6	SEO	No	regrow	www.regrow.ag	22/05/2025	Austria	Sophia	Kilian	Camille	W194	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Regrow-MRV	Yes	No	No	No	NA	NA	NA	Yes	Yes	No	No	No	NA	Sustainability_Monitoring	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	Yes	Yes	No	Yes	Yes	NA	NA	NA	Carbon_Project_Developer	NA	NA	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Yes	NA	NA	NA	NA	NA	NA	No	Implemented	NA	NA	NA	
456	https://www.htgf.de/en/portfolio/htgffamily/seqana/	9	10	SEO	No	htgf	www.htgf.de	20/05/2025	Germany	Sambit	Sophia	Camille	W117	Yes	Yes	Yes	Yes	Yes	Yes	Duplicate	Duplicate	Duplicate	Yes	No	No	No	NA	NA	NA	Yes	Yes	NA	NA	NA	Voluntary_carbon_market	NA	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	No	Yes	No	No	Yes	NA	NA	NA	Carbon_Project_Developers	NA	NA	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	Yes	Yes	Yes	No	NA	Na	NA	NA	Yes	NA	Na	NA	NA	NA	No	Yes	Yes	No	Yes	Yes	No	Na	Na	implemented	All_Europe	Europe	NA	
1026	https://unfccc.int/sites/default/files/resource/UNFCCC%20Webinar%20on%20SOC-session%204.pdf	7	7	SEO	No	unfccc	unfccc.int	20/05/2025	France	Antonio	Tiina-Camille	No_second_screening	W246	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	
582	https://www.isric.org/news/new-paper-towards-modular-multi-ecosystem-mrv-framework-soil-organic-carbon-stock-change	1	10	SEO	No	isric	www.isric.org	04/06/2025	Germany	Camille	Antonio-Camille	No_second_screening	W142	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	
584	https://www.isric.org/news/new-paper-towards-modular-multi-ecosystem-mrv-framework-soil-organic-carbon-stock-change	1	8	SEO	No	isric	www.isric.org	20/05/2025	Germany	Sambit	Antonio-Camille	No_second_screening	W142	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	
586	https://www.isric.org/news/new-paper-towards-modular-multi-ecosystem-mrv-framework-soil-organic-carbon-stock-change	1	10	SEO	No	isric	www.isric.org	22/05/2025	Austria	Sophia	Antonio-Camille	No_second_screening	W142	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	Duplicate	
